+-------------------------------------------------------+
| ALL RUNS IN DATABASE                                  |
+-------------------------------------------------------+
| ['8TeV', 'RPV8', 'ATLAS8TeV', '2012', '2011', 'RPV7'] |
+-------------------------------------------------------+

************************************* ANALYSES FOR EACH RUN *************************************

~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 8TeV ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~

['DileptonicStop8TeV', 'SUS13011', 'SUS13009', 'SUS12026', 'SUS12018', 'SUS13012', 'SUS12024', 'SUS13004', 'SUS12017', 'SUS12022', 'SUS13007LS', 'SUS13018', 'SUS12028', 'SUS13007', 'RazorMono8TeV', 'SUS13002', 'SUS13006', 'SUS13008', 'SUS13013', 'SUS13016', 'SUS13017', 'T1ttttCombination8TeV', 'SUS13021', 'SUS13014', 'SUS13019', 'SUS13022', 'SUS13024', 'SUS13015']

~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ RPV8 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~

['EXO12049', 'SUS12027', 'SUS13003', 'SUS13013']

~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ATLAS8TeV ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~

['ATLAS_CONF_2012_105', 'ATLAS_CONF_2012_166', 'ATLAS_CONF_2013_001', 'ATLAS_CONF_2013_007', 'ATLAS_CONF_2013_024', 'ATLAS_CONF_2013_025', 'ATLAS_CONF_2013_028', 'ATLAS_CONF_2013_035', 'ATLAS_CONF_2013_036', 'ATLAS_CONF_2013_037', 'ATLAS_CONF_2013_047', 'ATLAS_CONF_2013_048', 'ATLAS_CONF_2013_049', 'ATLAS_CONF_2013_053', 'ATLAS_CONF_2013_061', 'ATLAS_CONF_2013_062', 'ATLAS_CONF_2013_065', 'ATLAS_CONF_2013_068', 'ATLAS_CONF_2013_089', 'ATLAS_CONF_2013_093', 'SUSY_2013_04', 'SUSY_2013_05', 'SUSY_2013_11']

~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 2012 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~

['SUS11030', 'SUS12004', 'SUS12006MET', 'SUS11013', 'SUS12006MT', 'SUS12006ML', 'SUS12006SS', 'SUS12002b', 'SUS11011edge', 'SUS11018', 'SUS11021ZMET', 'SUS11011shape', 'SUS12001MET', 'SUS12001JETS', 'SUS12010ANN', 'SUS12010LS', 'SUS12003', 'SUS11027', 'SUS12010LP', 'SUS12006COMB', 'SUS11021JZB', 'SUS11028', 'SUS12005', 'SUS11024', 'SUS12009', 'SUS11010', 'SUS11020', 'SUS11022', 'SUS12002', 'SUS12011', 'SUS11011counting']

~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 2011 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~

['SUS11005', 'SUS11004', 'SUS11006', 'SUS11010', 'SUS11003']

~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ RPV7 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~

['EXO11060', 'EXO12002', 'SUS13005']

************************************* ANALYSIS INFORMATION FOR EACH RUN *************************************

=========================================== DETAILED INFORMATION ===========================================

~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 8TeV ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~

+-----------------------+--------------------------------------------------------------------------+
| ANALYSIS              |                                 CHECKED                                  |
+-----------------------+--------------------------------------------------------------------------+
| DileptonicStop8TeV    |                                   None                                   |
| SUS13011              |                        ['T2tt: VM', 'T6bbWW: VM']                        |
| SUS13009              |                                   None                                   |
| SUS12026              |                                  ['AL']                                  |
| SUS12018              |                                   None                                   |
| SUS13012              |                           ['T1: VM', 'T2: VM']                           |
| SUS12024              |                                  ['AL']                                  |
| SUS13004              |                 ['T1tttt: VM', 'T1bbbb: VM', 'T2tt: VM']                 |
| SUS12017              |                                   None                                   |
| SUS12022              |                                  ['AL']                                  |
| SUS13007LS            |                                   None                                   |
| SUS13018              |                                   None                                   |
| SUS12028              |                                  ['AL']                                  |
| SUS13007              |                                  ['AL']                                  |
| RazorMono8TeV         |                                   None                                   |
| SUS13002              |                       ['T1tttt: VM', 'T6ttWW: VM']                       |
| SUS13006              |                                   None                                   |
| SUS13008              | ['T1tttt: VM', 'T5tttt: VM', 'T7btbtWW: VM', 'T6ttWW: VM', 'T6bbZZ: VM'] |
| SUS13013              |          ['T6ttWW: VM', 'T5tttt: VM', 'T5WW: VM', 'T1tttt: VM']          |
| SUS13016              |                              ['T1tttt: VM']                              |
| SUS13017              |                           ['TChiChipmHW: VM']                            |
| T1ttttCombination8TeV |                                   None                                   |
| SUS13021              |                                   None                                   |
| SUS13014              |                                   None                                   |
| SUS13019              |                                   None                                   |
| SUS13022              |                                   None                                   |
| SUS13024              |                                   None                                   |
| SUS13015              |                                   None                                   |
+-----------------------+--------------------------------------------------------------------------+
+------------------------+------------------------------------------------------+
| ANALYSIS               |                         AXES                         |
+------------------------+------------------------------------------------------+
| DileptonicStop8TeV     |                    not available                     |
| ---------------------- |                ----------------------                |
| SUS13011               |                     T2tt: M1 M0                      |
| SUS13011               |               T2tt_offshelltop: M1 M0                |
| SUS13011               |      T6bbWW: M1 M0 025 - M1 M0 050 - M1 M0 075       |
| ---------------------- |                ----------------------                |
| SUS13009               |                    not available                     |
| ---------------------- |                ----------------------                |
| SUS12026               |                    T1tttt: M1 M0                     |
| ---------------------- |                ----------------------                |
| SUS12018               |                    not available                     |
| ---------------------- |                ----------------------                |
| SUS13012               |                      T1: M1 M0                       |
| SUS13012               |                      T2: M1 M0                       |
| SUS13012               |                    T1tttt: M1 M0                     |
| ---------------------- |                ----------------------                |
| SUS12024               |                    T1bbbb: M1 M0                     |
| SUS12024               |                    T1tttt: M1 M0                     |
| SUS12024               |         T5tttt: M1 M2 LSP050 - M2 M0 M11000          |
| ---------------------- |                ----------------------                |
| SUS13004               |                     T2tt: M1 M0                      |
| SUS13004               |                    T1tttt: M1 M0                     |
| SUS13004               |                    T1bbbb: M1 M0                     |
| ---------------------- |                ----------------------                |
| SUS12017               |                    not available                     |
| ---------------------- |                ----------------------                |
| SUS12022               |  TChiChipmSlepL: M1 M0 005 - M1 M0 050 - M1 M0 095   |
| SUS12022               | TChiChipmSlepStau: M1 M0 005 - M1 M0 050 - M1 M0 095 |
| SUS12022               |             TChiChipmStauStau: M1 M0 050             |
| SUS12022               |             TChipChimSlepSnu: M1 M0 050              |
| SUS12022               |                    TChiWZ: M1 M0                     |
| SUS12022               |                   TSlepSlep: M1 M0                   |
| ---------------------- |                ----------------------                |
| SUS13007LS             |                    not available                     |
| ---------------------- |                ----------------------                |
| SUS13018               |                     T2bb: M1 M0                      |
| ---------------------- |                ----------------------                |
| SUS12028               |                      T1: M1 M0                       |
| SUS12028               |                      T2: M1 M0                       |
| SUS12028               |                     T2bb: M1 M0                      |
| SUS12028               |                     T2tt: M1 M0                      |
| SUS12028               |                    T1bbbb: M1 M0                     |
| SUS12028               |                    T1tttt: M1 M0                     |
| SUS12028               |                   T2_OneSq: M1 M0                    |
| ---------------------- |                ----------------------                |
| SUS13007               |                    T1tttt: M1 M0                     |
| ---------------------- |                ----------------------                |
| RazorMono8TeV          |                    not available                     |
| ---------------------- |                ----------------------                |
| SUS13002               |                    T1tttt: M1 M0                     |
| SUS13002               |                 T6ttWW: M1 M2 LSP050                 |
| ---------------------- |                ----------------------                |
| SUS13006               |  TChiChipmSlepL: M1 M0 005 - M1 M0 050 - M1 M0 095   |
| SUS13006               | TChiChipmSlepStau: M1 M0 005 - M1 M0 050 - M1 M0 095 |
| SUS13006               |             TChiChipmStauStau: M1 M0 050             |
| SUS13006               |             TChipChimSlepSnu: M1 M0 050              |
| SUS13006               |                    TChiWZ: M1 M0                     |
| SUS13006               |                   TSlepSlep: M1 M0                   |
| ---------------------- |                ----------------------                |
