# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVhinosplit
#  N2      C1p      N1
# [GeV]	 [GeV]	 [GeV]	xsec [pb]	relative uncertainty
100	50	0	9.09558	0.02231
100	55	10	8.20626	0.02198
125	70	15	3.51078	0.02294
100	60	20	7.40862	0.02171
125	75	25	3.25252	0.02315
125	80	35	3.01338	0.02338
100	70	40	6.06053	0.02178
150	95	40	1.59392	0.02558
125	85	45	2.7925	0.02361
150	100	50	1.49736	0.02585
150	102.5	55	1.45133	0.02598
100	80	60	5.00771	0.02106
120	90	60	2.83624	0.02290
150	105	60	1.40672	0.02609
150	110	70	1.32168	0.02626
81.5	80.75	80	7.47073	0.01914
82	81	80	7.34199	0.01992
83	81.5	80	7.08993	0.02006
85	82.5	80	6.62058	0.02022
90	85	80	5.61532	0.02072
95	87.5	80	4.80271	0.02120
100	90	80	4.13934	0.02170
110	95	80	3.13403	0.02266
120	100	80	2.42578	0.02363
140	110	80	1.53031	0.02552
200	145	90	0.48446	0.03125
101.5	100.75	100	3.30590	0.02181
102	101	100	3.26241	0.02254
103	101.5	100	3.17638	0.02264
105	102.5	100	3.01358	0.02279
110	105	100	2.65145	0.02327
115	107.5	100	2.34357	0.02378
120	110	100	2.08078	0.02425
130	115	100	1.65896	0.02520
140	120	100	1.34117	0.02615
150	125	100	1.09847	0.02722
160	130	100	0.90709	0.02798
200	150	100	0.46223	0.03154
200	152.5	105	0.45152	0.03169
200	155	110	0.44107	0.03184
200	160	120	0.42083	0.03193
126.5	125.75	125	1.50030	0.02484
127	126	125	1.48393	0.02570
128	126.5	125	1.45393	0.02579
130	127.5	125	1.39465	0.02598
135	130	125	1.25940	0.02644
140	132.5	125	1.14041	0.02690
145	135	125	1.03536	0.02736
155	140	125	0.85959	0.02827
165	145	125	0.71995	0.02917
185	155	125	0.51616	0.03096
152	151	150	0.78365	0.02876
153	151.5	150	0.76995	0.02887
155	152.5	150	0.74360	0.02903
160	155	150	0.68252	0.02947
165	157.5	150	0.62755	0.02991
170	160	150	0.57814	0.03036
180	165	150	0.49299	0.03123
190	170	150	0.42304	0.03210
200	175	150	0.36609	0.03274
210	180	150	0.31662	0.03381
250	200	150	0.18794	0.03712
250	202.5	155	0.18438	0.03726
250	205	160	0.1809	0.03740
250	210	170	0.17414	0.03772
178	176.5	175	0.44809	0.03085
180	177.5	175	0.43479	0.03104
185	180	175	0.40360	0.03146
190	182.5	175	0.37514	0.03189
195	185	175	0.34914	0.03231
205	190	175	0.30448	0.03405
202	201	200	0.28275	0.03454
203	201.5	200	0.27896	0.03458
205	202.5	200	0.27160	0.03479
210	205	200	0.25423	0.03520
215	207.5	200	0.23820	0.03561
220	210	200	0.22341	0.03603
230	215	200	0.19674	0.03683
240	220	200	0.17444	0.03765
250	225	200	0.1554	0.03841
260	230	200	0.13801	0.03924
300	252.5	205	0.08818	0.04243
300	255	210	0.08675	0.04254
300	260	220	0.08398	0.04281
230	227.5	225	0.17820	0.03663
235	230	225	0.16787	0.03704
240	232.5	225	0.15826	0.03743
255	240	225	0.13367	0.03946
252	251	250	0.12566	0.03992
253	251.5	250	0.12428	0.03997
255	252.5	250	0.12157	0.04015
260	255	250	0.11511	0.04054
265	257.5	250	0.10884	0.04089
270	260	250	0.10339	0.04131
280	265	250	0.09289	0.04203
290	270	250	0.08400	0.04283
300	275	250	0.07619	0.04353
310	280	250	0.06884	0.04431
350	310	270	0.04478	0.04772
302	301	300	0.06350	0.04495
303	301.5	300	0.06290	0.04502
305	302.5	300	0.06172	0.04517
310	305	300	0.05888	0.04553
315	307.5	300	0.05606	0.04593
320	310	300	0.05366	0.04625
340	320	300	0.04489	0.04770
360	330	300	0.0377	0.04923
