# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVhinosplit
#  N2      C1m      N1
# [GeV]	 [GeV]	 [GeV]	xsec [pb]	relative uncertainty
100	50	0	5.96450	0.04259
100	55	10	5.35753	0.04274
125	70	15	2.20607	0.04484
100	60	20	4.81553	0.04293
125	75	25	2.03535	0.04509
125	80	35	1.87795	0.04535
100	70	40	3.90292	0.04330
150	95	40	0.96063	0.04761
125	85	45	1.73315	0.04560
150	100	50	0.89905	0.04786
150	102.5	55	0.86978	0.04799
100	80	60	3.20454	0.04146
120	90	60	1.76639	0.04383
150	105	60	0.84150	0.04812
150	110	70	0.78778	0.04840
81.5	80.75	80	4.86322	0.03940
82	81	80	4.77871	0.04012
83	81.5	80	4.60766	0.04015
85	82.5	80	4.28971	0.04049
90	85	80	3.61176	0.04109
95	87.5	80	3.06705	0.04170
100	90	80	2.62492	0.04227
110	95	80	1.96067	0.04343
120	100	80	1.49791	0.04452
140	110	80	0.92186	0.04664
200	145	90	0.27153	0.05299
101.5	100.75	100	2.07213	0.04294
102	101	100	2.04474	0.04326
103	101.5	100	1.98820	0.04338
105	102.5	100	1.88132	0.04361
110	105	100	1.64452	0.04419
110	105	100	1.64371	0.04410
115	107.5	100	1.44431	0.04472
120	110	100	1.27430	0.04529
130	115	100	1.00358	0.04630
140	120	100	0.80173	0.04728
150	125	100	0.64742	0.04919
160	130	100	0.52999	0.04925
200	150	100	0.25824	0.05329
200	152.5	105	0.25183	0.05338
200	155	110	0.24560	0.05349
200	160	120	0.23362	0.05376
126.5	125.75	125	0.90218	0.04670
127	126	125	0.89246	0.04680
128	126.5	125	0.87300	0.04695
130	127.5	125	0.83544	0.04715
135	130	125	0.75003	0.04765
140	132.5	125	0.67527	0.04815
145	135	125	0.60959	0.04863
155	140	125	0.50049	0.04957
165	145	125	0.41465	0.05049
185	155	125	0.29122	0.05226
152	151	150	0.45364	0.05006
153	151.5	150	0.44524	0.05020
155	152.5	150	0.42907	0.05033
160	155	150	0.39173	0.05078
165	157.5	150	0.35829	0.05123
170	160	150	0.32836	0.05166
180	165	150	0.27714	0.05252
190	170	150	0.23543	0.05334
200	175	150	0.20128	0.05449
210	180	150	0.17280	0.05492
250	200	150	0.09860	0.05784
250	202.5	155	0.09659	0.05793
250	205	160	0.09463	0.05804
250	210	170	0.09082	0.05823
178	176.5	175	0.25022	0.05271
180	177.5	175	0.24231	0.05292
185	180	175	0.22381	0.05330
190	182.5	175	0.20701	0.05368
195	185	175	0.19173	0.05407
205	190	175	0.16529	0.05543
202	201	200	0.15307	0.05557
203	201.5	200	0.15089	0.05558
205	202.5	200	0.14663	0.05579
210	205	200	0.13661	0.05616
215	207.5	200	0.12741	0.05652
220	210	200	0.11895	0.05688
230	215	200	0.10383	0.05751
240	220	200	0.09123	0.05825
250	225	200	0.08037	0.05891
260	230	200	0.07093	0.05955
300	252.5	205	0.04367	0.06220
300	255	210	0.04291	0.06230
300	260	220	0.04142	0.06250
230	227.5	225	0.09328	0.05768
235	230	225	0.08749	0.05800
240	232.5	225	0.08212	0.05834
255	240	225	0.06835	0.05978
252	251	250	0.06412	0.06009
253	251.5	250	0.06336	0.06007
255	252.5	250	0.06188	0.06027
260	255	250	0.05834	0.06058
265	257.5	250	0.05493	0.06077
270	260	250	0.05197	0.06118
280	265	250	0.04631	0.06169
290	270	250	0.04155	0.06233
300	275	250	0.03729	0.06308
310	280	250	0.03352	0.06344
350	310	270	0.02099	0.06619
302	301	300	0.03072	0.06391
303	301.5	300	0.03040	0.06396
305	302.5	300	0.02979	0.06407
310	305	300	0.02831	0.06433
315	307.5	300	0.02684	0.06467
320	310	300	0.02561	0.06485
340	320	300	0.02104	0.06618
360	330	300	0.01741	0.06725
